model,dataflow,array,layer,avf,std_avf
VGG-16,IS,128x128,block5_conv3,0.38419326761295436,0.002713118326871372
VGG-16,IS,128x128,fc1,0.005272411768660577,4.531483937738819e-05
VGG-16,IS,128x128,fc2,0.005864941249138129,0.00014456249570550894
VGG-16,IS,128x128,predictions,0.005164146676639794,7.156635444167111e-05
VGG-16,IS,256x256,block1_conv1,0.03271039703683894,6.938893903907228e-18
VGG-16,IS,256x256,block1_conv2,0.18671644448767313,0.0007937615478764246
VGG-16,IS,256x256,block2_conv1,0.23213812011831494,0.0006847458267113808
VGG-16,IS,256x256,block2_conv2,0.2534569821899749,0.0008470537673731219
VGG-16,IS,256x256,block3_conv1,0.30244919985007457,0.002009686203187124
VGG-16,IS,256x256,block3_conv2,0.3264110333436575,0.001709698625528617
VGG-16,IS,256x256,block3_conv3,0.3187554195464844,0.0006643176157634576
VGG-16,IS,256x256,block4_conv1,0.3314768014884753,0.004341198548057346
VGG-16,IS,256x256,block4_conv2,0.3310013041026197,0.0006673292464628548
VGG-16,IS,256x256,block4_conv3,0.32440010715283474,0.0009402745685303467
VGG-16,IS,256x256,block5_conv1,0.3089550122012406,0.0022839430021524467
VGG-16,IS,256x256,block5_conv2,0.31057883317559143,0.0006057213570392366
VGG-16,IS,256x256,block5_conv3,0.30865597965319586,0.00192457654714029
VGG-16,IS,256x256,fc1,0.0025258950443646094,2.139840092587544e-05
VGG-16,IS,256x256,fc2,0.0028056970597279502,6.826475133651725e-05
VGG-16,IS,256x256,predictions,0.0022549097989795755,2.972064024629289e-05
VGG-16,IS,512x512,block1_conv1,0.01327091377205739,1.734723475976807e-18
VGG-16,IS,512x512,block1_conv2,0.1434546736429796,0.0003634047434408151
VGG-16,IS,512x512,block2_conv1,0.16244884058379233,0.00032026213522360817
VGG-16,IS,512x512,block2_conv2,0.18693913891073083,0.00041770491634140973
VGG-16,IS,512x512,block3_conv1,0.20473057588610843,0.0010113858117788668
VGG-16,IS,512x512,block3_conv2,0.22629122805618618,0.0008863950666246339
VGG-16,IS,512x512,block3_conv3,0.2223221669594097,0.0003444161728225693
VGG-16,IS,512x512,block4_conv1,0.23910481271020695,0.0026095754816738625
VGG-16,IS,512x512,block4_conv2,0.25501536261526,0.00042201818390018265
VGG-16,IS,512x512,block4_conv3,0.2508407738900066,0.0005946284654568856
VGG-16,IS,512x512,block5_conv1,0.1276417740446371,0.0008040007446883447
VGG-16,IS,512x512,block5_conv2,0.12821339657260222,0.0002132279227958943
VGG-16,IS,512x512,block5_conv3,0.12753650767367802,0.0006774954434730822
VGG-16,IS,512x512,fc1,0.0011691865406056935,9.629071407062711e-06
VGG-16,IS,512x512,fc2,0.001295094714543856,3.071847132324035e-05
VGG-16,IS,512x512,predictions,0.0009244938308431714,1.1099329563061943e-05
VGG-16,OS,32x32,block1_conv1,0.41887462499044564,0.0
VGG-16,OS,32x32,block1_conv2,0.7785778396512406,0.01048063836882598
VGG-16,OS,32x32,block2_conv1,0.8369751307164716,0.004932745798692012
VGG-16,OS,32x32,block2_conv2,0.8555481432430879,0.0058805347211043375
VGG-16,OS,32x32,block3_conv1,0.8184717307433681,0.0083976680253138
VGG-16,OS,32x32,block3_conv2,0.8477648651387858,0.006951580872705016
VGG-16,OS,32x32,block3_conv3,0.8166373800682573,0.0027010945450777297
VGG-16,OS,32x32,block4_conv1,0.7506102665133427,0.012876035711111608
VGG-16,OS,32x32,block4_conv2,0.7568878372339393,0.0020053148387892566
VGG-16,OS,32x32,block4_conv3,0.7370513348367513,0.0028255116268383505
VGG-16,OS,32x32,block5_conv1,0.6325780596207621,0.006132284168659636
VGG-16,OS,32x32,block5_conv2,0.6369379458545099,0.0016263345822948084
VGG-16,OS,32x32,block5_conv3,0.6317751706876493,0.005167401410752995
VGG-16,OS,32x32,fc1,0.02205626219196624,0.00019230619133762941
VGG-16,OS,32x32,fc2,0.024449130724497215,0.0006096354919454031
VGG-16,OS,32x32,predictions,0.02387626283544128,0.00034827080210572664
VGG-16,OS,64x64,block1_conv1,0.3133758711818061,5.551115123125783e-17
VGG-16,OS,64x64,block1_conv2,0.7227910660458093,0.009525138574517077
VGG-16,OS,64x64,block2_conv1,0.7758643875552357,0.004483036780007843
VGG-16,OS,64x64,block2_conv2,0.821050166325333,0.005586047849311956
